,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
87,yulara,-25.24,130.99,48.2,1537380000,AU,8.05,29,0
88,ancud,-41.87,-73.83,48.6,1537380940,CL,9.08,90,92
89,waingapu,-9.65,120.26,68.58,1537380940,ID,3.15,100,20
90,bonavista,48.65,-53.11,49.14,1537380940,CA,15.23,100,56
91,east london,-33.02,27.91,59.0,1537376400,ZA,31.09,51,0
92,san patricio,-26.98,-56.83,77.49,1537380941,PY,3.04,82,68
93,brigg,53.55,-0.49,66.2,1537379400,GB,23.04,42,0
94,hamina,60.57,27.2,60.8,1537379400,FI,8.05,82,75
95,dingle,11.0,122.67,73.89,1537380942,PH,0.58,98,80
96,monrovia,6.33,-10.8,80.6,1537380000,LR,4.7,83,75
97,khatanga,71.98,102.47,23.85,1537380942,RU,8.52,86,0
98,beni suef,29.07,31.1,78.57,1537380942,EG,5.61,39,0
99,balkhash,46.84,74.98,54.27,1537380943,KZ,7.52,100,24
100,bredasdorp,-34.53,20.04,48.2,1537376400,ZA,5.82,70,88
101,san rafael,-34.61,-68.33,63.0,1537380944,AR,9.08,22,0
102,svetlaya,46.54,138.33,56.07,1537380944,RU,9.64,100,0
103,bo phloi,14.32,99.52,73.08,1537380944,TH,2.71,94,56
104,boundiali,9.53,-6.48,84.6,1537380945,CI,7.4,62,36
105,port hardy,50.7,-127.42,53.6,1537380000,CA,4.7,93,40
106,panama city,30.16,-85.65,89.06,1537376160,US,5.82,76,40
107,nikolskoye,59.7,30.79,64.4,1537378200,RU,11.18,77,75
108,ponta do sol,-20.63,-46.0,72.27,1537380946,BR,5.17,92,64
109,lavrentiya,65.58,-170.99,44.28,1537380946,RU,9.53,100,20
110,razdolnoye,43.7,44.53,61.11,1537380946,RU,8.52,48,0
111,butaritari,3.07,172.79,85.32,1537380947,KI,10.09,99,48
112,san quintin,17.54,120.52,78.8,1537380000,PH,2.24,88,20
113,khomutovka,51.92,34.56,59.04,1537380947,RU,7.52,80,0
114,sobolevo,54.43,31.9,63.27,1537380947,RU,10.2,80,12
115,tual,-5.67,132.75,80.28,1537380948,ID,14.67,99,24
116,atuona,-9.8,-139.03,79.2,1537380948,PF,16.8,100,8
117,lata,30.78,78.62,53.37,1537380948,IN,2.48,75,0
118,lompoc,34.64,-120.46,68.0,1537378500,US,7.74,82,40
119,floro,61.6,5.03,53.6,1537379400,NO,27.51,87,75
120,berlevag,70.86,29.09,42.8,1537379400,NO,4.7,87,75
121,moranbah,-22.0,148.04,59.67,1537380949,AU,6.73,71,0
122,shymkent,42.31,69.59,71.6,1537378200,KZ,4.47,33,0
123,bushehr,28.97,50.84,91.4,1537378200,IR,2.93,59,0
124,denpasar,-8.65,115.22,78.8,1537380000,ID,1.12,88,40
125,abu samrah,35.3,37.18,81.45,1537380950,SY,10.54,36,0
126,cabo san lucas,22.89,-109.91,78.8,1537377120,MX,13.87,83,90
127,fortuna,38.18,-1.13,78.8,1537380000,ES,4.7,69,20
128,portmore,17.97,-76.87,91.4,1537376400,JM,23.04,59,20
129,roald,62.58,6.12,60.8,1537379400,NO,16.11,44,75
130,cornesti,44.78,25.87,68.0,1537380000,RO,2.24,59,0
131,cayenne,4.94,-52.33,89.6,1537378200,GF,8.05,62,40
132,magdagachi,53.45,125.8,40.77,1537380807,RU,2.15,84,12
133,bud,62.91,6.91,60.8,1537379400,NO,10.29,71,75
134,bambous virieux,-20.34,57.76,73.4,1537376400,MU,13.87,64,40
135,oarai,36.31,140.57,62.6,1537378200,JP,1.12,100,75
136,aksu,52.04,76.93,51.8,1537378200,KZ,13.42,49,0
137,skibbereen,51.55,-9.27,51.8,1537380000,IE,13.87,81,75
138,jacareacanga,-6.22,-57.76,75.2,1537376400,BR,2.24,100,90
139,dire,9.18,38.92,53.37,1537380954,ET,4.61,82,8
140,tiksi,71.64,128.87,29.79,1537380954,RU,2.59,93,92
141,mahebourg,-20.41,57.7,73.4,1537376400,MU,13.87,64,40
142,san matias,13.97,-86.63,75.2,1537376400,HN,6.93,64,75
143,hilo,19.71,-155.08,73.94,1537375980,US,4.7,71,90
144,tasiilaq,65.61,-37.64,41.0,1537379400,GL,8.05,44,20
145,castelbuono,37.93,14.09,68.13,1537380956,IT,2.04,97,12
146,bethel,60.79,-161.76,48.02,1537380000,US,10.29,96,90
147,umarkot,25.37,69.74,81.72,1537380957,PK,10.65,61,0
148,vaitape,-16.52,-151.75,76.05,1537380958,PF,20.83,100,80
